name,combination,weights,cagr,risk
x28,"('TECB', 'QUAL')","[0.6, 0.4]",14.403634202359573,36.53846153846153
x29,"('TECB', 'QUAL')","[0.8, 0.2]",14.883246327101451,44.230769230769226
x30,"('TECB', 'SUSL')","[0.2, 0.8]",12.468758732313123,38.46153846153847
x31,"('TECB', 'SUSL')","[0.4, 0.6]",13.213879170325725,38.46153846153847
x32,"('TECB', 'SUSL')","[0.6, 0.4]",13.943002481480992,42.30769230769231
x33,"('TECB', 'SUSL')","[0.8, 0.2]",14.656897199821351,44.230769230769226
x34,"('TECB', 'DSI')","[0.2, 0.8]",12.386502026563528,38.46153846153847
x35,"('TECB', 'DSI')","[0.4, 0.6]",13.153549679363131,40.38461538461539
x36,"('TECB', 'DSI')","[0.6, 0.4]",13.903646622216792,42.30769230769231
x37,"('TECB', 'DSI')","[0.8, 0.2]",14.637630414012692,44.230769230769226
x38,"('TECB', 'MTUM')","[0.2, 0.8]",10.036106537645662,40.38461538461539
x39,"('TECB', 'MTUM')","[0.4, 0.6]",11.446970371233899,42.30769230769231
x40,"('TECB', 'MTUM')","[0.6, 0.4]",12.800692428596205,44.230769230769226
x41,"('TECB', 'MTUM')","[0.8, 0.2]",14.102330687780839,44.230769230769226
x42,"('IWY', 'USXF')","[0.2, 0.8]",15.16196482276837,38.297872340425535
x43,"('IWY', 'USXF')","[0.4, 0.6]",15.367830622572765,40.42553191489361
x44,"('IWY', 'USXF')","[0.6, 0.4]",15.572630518076846,40.42553191489361
x45,"('IWY', 'USXF')","[0.8, 0.2]",15.776377350050286,40.42553191489361
x46,"('IWY', 'XVV')","[0.2, 0.8]",12.414948510084134,38.63636363636363
x47,"('IWY', 'XVV')","[0.4, 0.6]",12.613356756208493,38.63636363636363
x48,"('IWY', 'XVV')","[0.6, 0.4]",12.810837180662759,38.63636363636363
x49,"('IWY', 'XVV')","[0.8, 0.2]",13.007400022298476,38.63636363636363
x50,"('IWY', 'IHAK')","[0.2, 0.8]",14.514760001039928,40.67796610169492
x51,"('IWY', 'IHAK')","[0.4, 0.6]",15.358715828726254,44.06779661016949
