name,combination,weights,cagr,risk
x460,"['EIRL', 'IGSB']","[0.8, 0.2]",7.251595402858335,41.46341463414634
x461,"['EIRL', 'SDG']","[0.8, 0.2]",6.045439345529369,39.325842696629216
x462,['EIRL'],[1.0],8.387721912186041,40.853658536585364
x463,"['ICVT', 'IWY']","[0.2, 0.8]",15.013549190069163,35.78947368421053
x464,"['ICVT', 'URTH', 'IWY']","[0.2, 0.2, 0.6000000000000001]",13.674611241004264,35.78947368421053
x465,"['ICVT', 'URTH', 'IWY']","[0.2, 0.4, 0.4]",12.216800922556835,33.68421052631579
x466,"['ICVT', 'URTH', 'IWY']","[0.2, 0.6000000000000001, 0.2]",10.614894893871018,33.68421052631579
x467,"['ICVT', 'URTH']","[0.2, 0.8]",8.834398829427537,35.78947368421053
x468,"['ICVT', 'AGT', 'IWY']","[0.2, 0.2, 0.6000000000000001]",12.047925254217095,32.631578947368425
x469,"['ICVT', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.4]",10.42824381341887,31.57894736842105
x470,"['ICVT', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.4, 0.2]",8.625409241522043,31.57894736842105
x471,"['ICVT', 'AGT', 'URTH']","[0.2, 0.2, 0.6000000000000001]",6.588296233343405,31.57894736842105
x472,"['ICVT', 'AGT', 'IWY']","[0.2, 0.4, 0.4]",8.413600994735692,32.631578947368425
x473,"['ICVT', 'AGT', 'URTH', 'IWY']","[0.2, 0.4, 0.2, 0.2]",6.346590019091214,31.57894736842105
x474,"['ICVT', 'AGT', 'URTH']","[0.2, 0.4, 0.4]",3.9575831115858273,31.57894736842105
x475,"['ICVT', 'AGT', 'IWY']","[0.2, 0.6000000000000001, 0.2]",3.6697715971250044,34.73684210526316
x476,"['ICVT', 'AGT', 'URTH']","[0.2, 0.6000000000000001, 0.2]",0.7656117481730895,36.84210526315789
x477,"['ICVT', 'AGT']","[0.2, 0.8]",-3.3307182757857268,35.78947368421053
x478,"['ICVT', 'KXI', 'IWY']","[0.2, 0.2, 0.6000000000000001]",12.912670512106494,35.78947368421053
x479,"['ICVT', 'KXI', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.4]",11.38158090702104,36.84210526315789
x480,"['ICVT', 'KXI', 'URTH', 'IWY']","[0.2, 0.2, 0.4, 0.2]",9.689403014292886,31.57894736842105
x481,"['ICVT', 'KXI', 'URTH']","[0.2, 0.2, 0.6000000000000001]",7.794740860222182,35.78947368421053
x482,"['ICVT', 'KXI', 'AGT', 'IWY']","[0.2, 0.2, 0.2, 0.4]",9.491503718590998,34.73684210526316
x483,"['ICVT', 'KXI', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.2, 0.2]",7.571287621553147,32.631578947368425
x484,"['ICVT', 'KXI', 'AGT', 'URTH']","[0.2, 0.2, 0.2, 0.4]",5.379931555931483,33.68421052631579
x485,"['ICVT', 'KXI', 'AGT', 'IWY']","[0.2, 0.2, 0.4, 0.2]",5.11819729982137,31.57894736842105
x486,"['ICVT', 'KXI', 'AGT', 'URTH']","[0.2, 0.2, 0.4, 0.2]",2.508298136991094,35.78947368421053
x487,"['ICVT', 'KXI', 'AGT']","[0.2, 0.2, 0.6000000000000001]",-1.0584103934509037,33.68421052631579
x488,"['ICVT', 'KXI', 'IWY']","[0.2, 0.4, 0.4]",10.500654655475937,35.78947368421053
x489,"['ICVT', 'KXI', 'URTH', 'IWY']","[0.2, 0.4, 0.2, 0.2]",8.706526315647412,33.68421052631579
x490,"['ICVT', 'KXI', 'URTH']","[0.2, 0.4, 0.4]",6.6807233871333915,34.73684210526316
x491,"['ICVT', 'KXI', 'AGT', 'IWY']","[0.2, 0.4, 0.2, 0.2]",6.440474869638235,34.73684210526316
x492,"['ICVT', 'KXI', 'AGT', 'URTH']","[0.2, 0.4, 0.2, 0.2]",4.067378610446082,35.78947368421053
